ASIN,Title,Brand Name,Design Style,Category,Metal Color,Metal Type,Stone Type,Stone Shape,Carat,Price,Star Rating,Global Rating,Image URL,Product URL,Metal Info,Price_HKD
B0FLWNZ66W,"2 Ct IGI Certified Cushion Lab Grown Diamond Ring 10K 14K 18K Solid Gold Solitaire Lab Grown Diamond Engagement Ring Handcrafted with Love (2 Carat, Color:E-F, Clarity:VVS2)",IGI,solitaire,ring,white/yellow/rose,10k,lab grown diamond,cushion,"2 ct, 2 carat",1899.99,,,https://m.media-amazon.com/images/I/51ZThUUwy+L._AC_UL320_.jpg,https://www.amazon.com/dp/B0FLWNZ66W,10k / gold,14819.92
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,https://www.amazon.com/dp/,N/A / N/A,
B0FLYHPVK9,"2 Ct IGI Certified Pear Cut Lab Grown Diamond Ring 10K 14K 18K Solid Gold Solitaire Lab Grown Diamond Engagement Ring Christmas Gift For Women (1-3 Carat, Color:E-F, Clarity:VVS2)",IGI,solitaire,ring,white/yellow/rose,10k,lab grown diamond,pear,"2 ct, 1-3 carat",1899.99,,,https://m.media-amazon.com/images/I/51dQPS8kJJL._AC_UL320_.jpg,https://www.amazon.com/dp/B0FLYHPVK9,10k / gold,14819.92
B0DWHRCHPZ,IGI Certified 1 1/4 to 3 1/3 Carat Lab Grown Diamond Engagement Ring for Women I 14k White Gold Ring for Her Side Stones (G-H VS1-VS2 cttw) Wedding Promise Anniversary Ring Size 6 to 8,IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/3 carat, 2 ct",1499,,,https://m.media-amazon.com/images/I/71yErT9-osL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWHRCHPZ,14k / white gold,11692.2
B0FLQKBV2W,"IGI Certified Round Cut Lab Grown Diamond Ring In 1 Ct 10K 14K 18K Rose Gold Solitaire Lab Grown Diamond Engagement Ring Christmas Gift For Women (1 Carat, Color:E-F, Clarity:VVS2)",IGI,solitaire,ring,white/yellow/rose,10k,lab grown diamond,round,"1 ct, 1 carat",1099.99,,,https://m.media-amazon.com/images/I/51lX0V9Q3+L._AC_UL320_.jpg,https://www.amazon.com/dp/B0FLQKBV2W,10k / rose gold,8579.92
B0B2ZL34F5,3/4 Carat Lab Grown Diamond and 3 Carat Moissanite Wedding Band Ring Set for Women in 14k White or Yellow Gold Anniversary Promise Ring,N/A,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"3/4 carat, 3 carat",999.95,4.8,45,https://m.media-amazon.com/images/I/61hUIojJL9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0B2ZL34F5,14k / yellow gold,7799.61
B0DWHTT4WJ,IGI Certified 1 1/4 to 3 1/3 Carat Lab Grown Diamond Engagement Ring for Women I 14k White Gold Ring for Her Side Stones (G-H VS1-VS2 cttw) Wedding Promise Anniversary Ring Size 6 to 8,IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/3 carat, 2 ct",999,,,https://m.media-amazon.com/images/I/71cvSo0kVwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWHTT4WJ,14k / white gold,7792.2
B0DWHTT4WJ,IGI Certified 1 1/4 to 3 1/3 Carat Lab Grown Diamond Engagement Ring for Women I 14k White Gold Ring for Her Side Stones (G-H VS1-VS2 cttw) Wedding Promise Anniversary Ring Size 6 to 8,IGI,anniversary,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/3 carat, 2 ct",999,,,https://m.media-amazon.com/images/I/71cvSo0kVwL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DWHTT4WJ,14k / white gold,7792.2
B0C81GLX59,"2 Carat D Color, VVS1 Oval Cut Diamond - Classy Engagement Ring for Women, Exquisite Anniversary Promise Band",N/A,anniversary,ring,white/yellow/rose,14k,diamond,oval,2 carat,921,5,1,https://m.media-amazon.com/images/I/61xBIihn-9L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C81GLX59,N/A / N/A,7183.8
B09L4KQ2BZ,FRIENDLY DIAMONDS Lab Grown Diamond Ring For Women IGI Certified | 0.50 Carat 14K White Gold | Malissa Solitaire Diamond Ring | FG-VS Quality,FRIENDLY,solitaire,ring,white/yellow/rose,14k,lab grown diamond,N/A,0.50 carat,890,5,2,https://m.media-amazon.com/images/I/51+7GgG9XtL._AC_UL320_.jpg,https://www.amazon.com/dp/B09L4KQ2BZ,14k / white gold,6942
B09L4KQ2BZ,FRIENDLY DIAMONDS Lab Grown Diamond Ring For Women IGI Certified | 0.50 Carat 14K White Gold | Malissa Solitaire Diamond Ring | FG-VS Quality,FRIENDLY,solitaire,ring,white/yellow/rose,14k,lab grown diamond,N/A,0.50 carat,890,5,2,https://m.media-amazon.com/images/I/51+7GgG9XtL._AC_UL320_.jpg,https://www.amazon.com/dp/B09L4KQ2BZ,14k / white gold,6942
,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,https://www.amazon.com/dp/,N/A / N/A,
B0FMF17T2T,1-5ct IGI Certified Emerald Cut VVS1-2 E-F colour Lab Grown Diamond Hidden Halo Cathedral Setting pave Solitaire Engagement Ring For Women,1-5ct,solitaire,ring,white/yellow/rose,14k,lab grown diamond,emerald,1-5ct,889,,,https://m.media-amazon.com/images/I/41HIA5EuDoL._AC_UL320_.jpg,https://www.amazon.com/dp/B0FMF17T2T,N/A / N/A,6934.2
B00OZ8P0VC,"1 carat (ctw) Diamond Wedding Anniversary Band for Women, Half Eternity Round Diamond Engagement Ring 14K White Gold Channel Set 1 cttw, Size 4.5-10",N/A,anniversary,ring,white/yellow/rose,14k,diamond,round,"1 carat, 1 ct",812.99,4.4,81,https://m.media-amazon.com/images/I/61UxHCVq7rL._AC_UL320_.jpg,https://www.amazon.com/dp/B00OZ8P0VC,14k / white gold,6341.32
B0BLWCVYKX,"1/2 Carat Lab Grown Diamond and 2 Carat Moissanite Engagement Ring for Women in 14k White/Yellow/Rose Gold (D-E, VS, cttw) Wedding Ring Size 5.5 to 8 (10)",N/A,engagement,ring,white/yellow/rose,14k,lab grown diamond,N/A,"1/2 carat, 2 carat",699.95,4.4,66,https://m.media-amazon.com/images/I/61VMqNhvnjL._AC_UL320_.jpg,https://www.amazon.com/dp/B0BLWCVYKX,14k / rose gold,5459.61
B0C3HNQXHM,"14K Solid Gold Side Stones Ring, Round/Princess Cut Centerpiece Moissanite Lab Grown Created Diamond, D Color and Flawless Real Gold Wedding Anniversary Ring",N/A,anniversary,ring,white/yellow/rose,14k,diamond,round,N/A,629.99,4.4,59,https://m.media-amazon.com/images/I/61dMDJ2qgFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0C3HNQXHM,14k / gold,4913.92
B0C74DWWCV,"1 Carat Square Diamond Engagement Ring, 14K White Gold Ring???D Color VVS1 Ideal Cut Diamond - A Symbol of Eternal Love and Commitment",N/A,engagement,ring,white/yellow/rose,14k,diamond,N/A,1 carat,568.5,5,3,https://m.media-amazon.com/images/I/71clM1FTS8L._AC_UL320_.jpg,https://www.amazon.com/dp/B0C74DWWCV,14k / white gold,4434.3
B08FDZPKMY,FINEROCK 0.42 Carat Solitaire Diamond Engagement Ring in 14K Gold,FINEROCK,solitaire,ring,white/yellow/rose,14k,diamond,N/A,0.42 carat,529.99,,,https://m.media-amazon.com/images/I/61Fswc12RdL._AC_UL320_.jpg,https://www.amazon.com/dp/B08FDZPKMY,14k / gold,4133.92
B0F9YW6VXF,LOVE BAND 2.00 CT Asscher Cut Bezel Moissanite Ring Diamond Engagement Rings for Women Wedding Bridal Set Vintage Antique Anniversary Promise Gift for Her,LOVE,anniversary,ring,gold plated,925,moissanite,N/A,2.00 ct,499.99,,,https://m.media-amazon.com/images/I/51iO29l7LqL._AC_UL320_.jpg,https://www.amazon.com/dp/B0F9YW6VXF,N/A / N/A,3899.92
B0DD2Z22P4,"MSBLUE Moissanite Engagement Ring, 1.0-3.0 CT Cinderella Staircase Princess Cut, 14K Gold Vermeil, Rhodium Finish",MSBLUE,engagement,ring,14k gold plated,925,moissanite,princess,1.0-3.0 ct,489.99,4.5,4,https://m.media-amazon.com/images/I/517KnvHgcFL._AC_UL320_.jpg,https://www.amazon.com/dp/B0DD2Z22P4,14k / gold,3821.92
